file,pages,chars,chars_per_page,empty_frac,class,note
КР107_2.pdf,53,77363,1459.7,0.038,OK,
КР497_2.pdf,64,93422,1459.7,0.031,OK,
КР748_2.pdf,151,220825,1462.4,0.007,OK,
КР802_1.pdf,50,73131,1462.6,0.0,OK,
КР539_2.pdf,40,58540,1463.5,0.075,OK,
КР694_2.pdf,131,191782,1464.0,0.008,OK,
КР783_1.pdf,56,82033,1464.9,0.018,OK,
КР791_1.pdf,89,130374,1464.9,0.011,OK,
КР951_1.pdf,43,63047,1466.2,0.023,OK,
КР928_1.pdf,43,63073,1466.8,0.023,OK,
КР829_1.pdf,71,104166,1467.1,0.014,OK,
